#w   DOS(w)
-1.25535   473.84
-1.24535   354.639
-1.23535   394.008
-1.22535   433.03
-1.21535   431.459
-1.20535   487.531
-1.19535   635.5
-1.18535   574.597
-1.17535   688.628
-1.16535   614.883
-1.15535   752.501
-1.14535   735.43
-1.13535   561.103
-1.12535   540.725
-1.11535   383.79
-1.10535   404.702
-1.09535   461.32
-1.08535   362.451
-1.07535   549.842
-1.06535   474.974
-1.05535   472.484
-1.04535   466.956
-1.03535   575.74
-1.02535   386.864
-1.01535   409.669
-1.00535   646.018
-0.995345   697.706
-0.985345   468.974
-0.975345   364.675
-0.965345   506.834
-0.955345   365.399
-0.945345   520.356
-0.935345   303.275
-0.925345   427.78
-0.915345   442.001
-0.905345   511.457
-0.895345   574.97
-0.885345   607.163
-0.875345   583.17
-0.865345   657.018
-0.855345   786.443
-0.845345   653.675
-0.835345   656.129
-0.825345   720.534
-0.815345   675.159
-0.805345   619.1
-0.795345   604.973
-0.785345   839.882
-0.775345   617.851
-0.765345   381.48
-0.755345   504.163
-0.745345   371.446
-0.735345   456.98
-0.725345   559.108
-0.715345   589.632
-0.705345   458.257
-0.695345   726
-0.685345   563.282
-0.675345   627.343
-0.665345   755.617
-0.655345   956.975
-0.645345   409.825
-0.635345   614.713
-0.625345   726.523
-0.615345   607.321
-0.605345   419.851
-0.595345   680.391
-0.585345   536.441
-0.575345   746.874
-0.565345   682.141
-0.555345   436.951
-0.545345   366.154
-0.535345   428.209
-0.525345   582.948
-0.515345   674.932
-0.505345   801.506
-0.495345   535.491
-0.485345   449.261
-0.475345   404.884
-0.465345   280.709
-0.455345   268.819
-0.445345   337.928
-0.435345   316.89
-0.425345   324.942
-0.415345   254.088
-0.405345   226.033
-0.395345   260.495
-0.385345   229.304
-0.375345   326.418
-0.365345   371.422
-0.355345   194.427
-0.345345   396.115
-0.335345   309.252
-0.325345   262.05
-0.315345   473.275
-0.305345   361.051
-0.295345   309.657
-0.285345   190.672
-0.275345   398.595
-0.265345   255.016
-0.255345   300.51
-0.245345   286.917
-0.235345   263.462
-0.225345   388.53
-0.215345   267.461
-0.205345   252.088
-0.195345   288.99
-0.185345   245.151
-0.175345   321.426
-0.165345   253.003
-0.155345   356.4
-0.145345   386.97
-0.135345   365.852
-0.125345   142.087
-0.115345   132.682
-0.105345   407.376
-0.0953452   264.591
-0.0853452   380.607
-0.0753452   314.65
-0.0653452   656.297
-0.0553452   474.778
-0.0453452   606.817
-0.0353452   563.672
-0.0253452   513.859
-0.0153452   541.424
-0.00534519   630.553
0.00465481   623.012
0.0146548   552.507
0.0246548   522.939
0.0346548   576.307
0.0446548   609.302
0.0546548   467.588
0.0646548   672.903
0.0746548   333.418
0.0846548   381.884
0.0946548   264.092
0.104655   425.968
0.114655   138.749
0.124655   135.334
0.134655   355.111
0.144655   379.34
0.154655   361.896
0.164655   269.11
0.174655   308.588
0.184655   250.984
0.194655   277.692
0.204655   255.931
0.214655   271.393
0.224655   381.592
0.234655   265.715
0.244655   284.121
0.254655   300.497
0.264655   240.891
0.274655   429.178
0.284655   186.821
0.294655   307.039
0.304655   345.926
0.314655   493.73
0.324655   258.847
0.334655   301.411
0.344655   402.794
0.354655   193.071
0.364655   360.958
0.374655   321.987
0.384655   240.394
0.394655   262.91
0.404655   238.482
0.414655   245.041
0.424655   313.486
0.434655   314.244
0.444655   335.215
0.454655   287.439
0.464655   263.392
0.474655   394.269
0.484655   451.232
0.494655   501.814
0.504655   778.417
0.514655   681.666
0.524655   600.98
0.534655   430.284
0.544655   384.544
0.554655   425.489
0.564655   671.53
0.574655   767.309
0.584655   531.498
0.594655   662.192
0.604655   434.86
0.614655   596.368
0.624655   732.756
0.634655   622.66
0.644655   405.701
0.654655   926.009
0.664655   774.126
0.674655   656.021
0.684655   556.611
0.694655   726.487
0.704655   465.441
0.714655   595.635
0.724655   555.177
0.734655   471.012
0.744655   362.705
0.754655   509.197
0.764655   374.617
0.774655   590.001
0.784655   853.794
0.794655   616.862
0.804655   624.247
0.814655   660.544
0.824655   715.63
0.834655   672.36
0.844655   634.785
0.854655   796.099
0.864655   653.377
0.874655   587.539
0.884655   601.25
0.894655   589.697
0.904655   498.365
0.914655   447.768
0.924655   446.252
0.934655   294.517
0.944655   516.321
0.954655   361.301
0.964655   495.13
0.974655   377.079
0.984655   454.667
0.994655   685.353
1.00465   655.878
1.01465   412.456
1.02465   393.443
1.03465   582.958
1.04465   471.474
1.05465   476.752
1.06465   479.527
1.07465   554.358
1.08465   377.602
1.09465   455.709
1.10465   406.833
1.11465   375.786
1.12465   523.865
1.13465   551.499
1.14465   732.71
1.15465   760.156
1.16465   620.921
1.17465   702.315
1.18465   560.583
1.19465   632.959
1.20465   486.468
1.21465   429.506
1.22465   428.458
1.23465   395.133
1.24465   341.818
1.25465   464.042
1.26465   501.549
1.27465   482.587
1.28465   485.036
1.29465   457.847
1.30465   493.236
1.31465   386.052
1.32465   493.436
1.33465   447.858
1.34465   458.597
1.35465   305.357
1.36465   319.217
1.37465   543.946
1.38465   641.215
1.39465   375.58
1.40465   370.802
1.41465   453.761
1.42465   344.169
1.43465   488.158
1.44465   408.081
1.45465   243.784
1.46465   189.968
1.47465   182.475
1.48465   145.599
1.49465   330.024
1.50465   305.112
1.51465   349.661
1.52465   327.501
1.53465   285.244
1.54465   264.674
1.55465   247.731
1.56465   423.069
1.57465   248.154
1.58465   356.273
1.59465   162.833
1.60465   256.797
1.61465   488.491
1.62465   626.64
1.63465   332.217
1.64465   394.997
1.65465   325.53
1.66465   156.924
1.67465   85.6076
1.68465   180.538
1.69465   165.501
1.70465   159.989
1.71465   307.75
1.72465   263.871
1.73465   424.516
1.74465   192.767
1.75465   179.054
1.76465   129.258
1.77465   291.425
1.78465   170.397
1.79465   194.933
1.80465   195.212
1.81465   165.459
1.82465   85.4081
1.83465   130.321
1.84465   165.522
1.85465   254.565
1.86465   116.315
1.87465   57.7055
1.88465   87.6817
1.89465   91.408
1.90465   84.8581
1.91465   52.2947
1.92465   140.753
1.93465   36.6424
1.94465   20.5852
1.95465   19.8744
1.96465   31.0212
1.97465   115.504
1.98465   77.3188
1.99465   112.821
2.00465   75.2584
2.01465   103.767
2.02465   121.675
2.03465   171.947
2.04465   141.689
2.05465   55.5957
2.06465   73.1469
2.07465   215.887
2.08465   205.596
2.09465   103.1
2.10465   164.778
2.11465   143.683
2.12465   45.0869
2.13465   21.1684
2.14465   15.3863
2.15465   14.13
2.16465   15.8804
2.17465   23.5767
2.18465   63.8365
2.19465   141.005
2.20465   183.947
2.21465   132.867
2.22465   64.3241
2.23465   134.668
2.24465   111.031
2.25465   50.7818
2.26465   111.871
2.27465   232.58
2.28465   195.817
2.29465   101.328
2.30465   34.8964
2.31465   34.1883
2.32465   79.5423
2.33465   36.4715
2.34465   77.4479
2.35465   143.631
2.36465   128.327
2.37465   101.293
2.38465   44.1133
2.39465   86.5812
2.40465   195.352
2.41465   66.6559
2.42465   29.8209
2.43465   46.1159
2.44465   59.3902
2.45465   83.4358
2.46465   46.8704
2.47465   98.2873
2.48465   141.129
2.49465   53.7218
2.50465   78.051
2.51465   101.206
2.52465   42.4868
2.53465   99.1323
2.54465   127.462
2.55465   39.8053
2.56465   56.3617
2.57465   113.723
2.58465   121.208
2.59465   148.692
2.60465   40.1349
2.61465   23.006
2.62465   28.0979
2.63465   86.8899
2.64465   131.324
2.65465   82.6458
2.66465   137.066
2.67465   120.239
2.68465   88.9185
2.69465   86.6867
2.70465   37.5391
2.71465   99.9008
2.72465   54.5875
2.73465   17.9375
2.74465   12.2139
2.75465   13.2154
2.76465   27.5463
2.77465   73.3809
2.78465   80.207
2.79465   28.5769
2.80465   36.4189
2.81465   118.168
2.82465   63.4376
2.83465   46.7737
2.84465   14.1498
2.85465   8.56842
2.86465   7.21204
2.87465   7.89186
2.88465   12.9347
2.89465   50.6841
2.90465   28.3808
2.91465   13.4786
2.92465   15.7542
2.93465   33.6701
2.94465   134.145
2.95465   184.557
2.96465   71.4429
2.97465   24.9499
2.98465   26.5055
2.99465   71.3228
3.00465   23.1259
